ORDER_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,ORDER_DATE,CUSTOMER_ORDER_NO,DELIVERY_INSTRUCTIONS,ORDER_STATUS
"""6054655""","""1569555""","""A-000136903""",28/10/2017,"""1710-JV8J-O""","""Leave with reception ""","""Completed"""
"""6038136""","""1568689""","""A-000132169""",10/10/2017,"""1710-3VHV-O""","""Leave by the front door ""","""Completed"""
"""6060573""","""1569747""","""A-000137290""",02/11/2017,"""1711-P442-O""","""If not at home please leave at Prahran East Post Office""","""Completed/Cancelled"""
"""6048365""","""1569313""","""A-000133873""",20/10/2017,"""""",""" ""","""Completed"""
"""6048366""","""1569321""","""A-000133876""",20/10/2017,"""""",""" ""","""Completed/Cancelled"""
"""6048367""","""1569320""","""A-000133875""",20/10/2017,"""""",""" ""","""Completed"""
"""6063352""","""1569169""","""A-000133248""",06/11/2017,"""""",""" ""","""Cancelled"""
"""6063371""","""1568681""","""A-000132161""",06/11/2017,"""1711-NKVS-O""",""" ""","""Completed/Cancelled"""
"""6159761""","""1575669""","""A-000149831""",16/02/2018,"""""",""" ""","""Completed"""
"""6159983""","""1575674""","""A-000149832""",16/02/2018,"""""",""" ""","""Completed"""
"""6073061""","""1570662""","""A-000140459""",14/11/2017,"""""",""" ""","""Completed"""
"""6073062""","""1570665""","""A-000140461""",14/11/2017,"""""",""" ""","""Completed"""
"""6146919""","""1574861""","""A-000149680""",01/02/2018,"""""",""" ""","""Completed"""
"""6146920""","""1574861""","""A-000149680""",01/02/2018,"""""",""" ""","""Completed"""
"""6147006""","""1574869""","""A-000149681""",01/02/2018,"""""",""" ""","""Completed"""
"""6147074""","""1574871""","""A-000149682""",01/02/2018,"""""",""" ""","""Completed"""
"""6150714""","""1574998""","""A-000149723""",06/02/2018,"""""",""" ""","""Completed"""
"""6046515""","""1569261""","""A-000133279""",18/10/2017,"""""",""" ""","""Completed"""
"""6147951""","""1569324""","""A-000133884""",03/02/2018,"""1802-WSMK-O""",""" ""","""Completed"""
"""6160479""","""1575678""","""A-000149841""",17/02/2018,"""""",""" ""","""Completed"""
"""6040523""","""1568641""","""A-000132129""",12/10/2017,"""1710-8XQU-O""",""" ""","""Completed/Cancelled"""
"""6041164""","""1568400""","""A-000131890""",13/10/2017,"""1710-2K3Y-O""",""" ""","""Completed"""
"""6050416""","""1569369""","""A-000133892""",22/10/2017,"""""",""" ""","""Completed"""
"""6050417""","""1569372""","""A-000133895""",22/10/2017,"""""",""" ""","""Completed"""
"""6050418""","""1569373""","""A-000133896""",22/10/2017,"""""",""" ""","""Completed"""
"""6058301""","""1569324""","""A-000133884""",31/10/2017,"""1710-5MSC-O""",""" ""","""Completed/Cancelled"""
"""6166948""","""1575967""","""A-000149875""",24/02/2018,"""""",""" ""","""Completed"""
"""6166965""","""1575971""","""A-000149878""",24/02/2018,"""""",""" ""","""Completed"""
"""6050419""","""1569374""","""A-000133897""",22/10/2017,"""""",""" ""","""Completed"""
"""6050420""","""1569375""","""A-000133898""",22/10/2017,"""""",""" ""","""Completed"""
"""6050421""","""1569375""","""A-000133898""",22/10/2017,"""""",""" ""","""Completed"""
"""6050423""","""1569329""","""A-000133888""",21/10/2017,"""""",""" ""","""Completed"""
"""6050424""","""1569370""","""A-000133893""",22/10/2017,"""""",""" ""","""Completed"""
"""6166982""","""1575972""","""A-000149879""",24/02/2018,"""""",""" ""","""Completed"""
"""6166986""","""1575993""","""A-000149880""",25/02/2018,"""""",""" ""","""Completed"""
"""6173539""","""1576160""","""A-000150593""",04/03/2018,"""""",""" ""","""Completed"""
"""6173540""","""1570565""","""A-000139442""",04/03/2018,"""""",""" ""","""Completed"""
"""6173546""","""1576160""","""A-000150593""",04/03/2018,"""""",""" ""","""Completed"""
"""6167004""","""1575995""","""A-000149881""",25/02/2018,"""""",""" ""","""Completed"""
"""6167011""","""1575996""","""A-000149882""",25/02/2018,"""""",""" ""","""Completed"""
"""6167012""","""1575996""","""A-000149882""",25/02/2018,"""""",""" ""","""Completed"""
"""6054968""","""1568419""","""A-000131909""",28/10/2017,"""""",""" ""","""Completed"""
"""6086530""","""1571792""","""A-000144831""",27/11/2017,"""1711-SUG8-O""","""Leave under cover ""","""Completed"""
"""6064254""","""1570129""","""A-000137339""",06/11/2017,"""1711-4NCJ-O""","""Leave by the front door ""","""Completed"""
"""6100027""","""1572345""","""A-000147818""",10/12/2017,"""1712-RG6Y-O""","""leave notification to rearrang e the delivery""","""Completed/Cancelled"""
"""6066956""","""1570179""","""A-000137827""",08/11/2017,"""""",""" ""","""Completed"""
"""6066957""","""1570180""","""A-000137828""",08/11/2017,"""""",""" ""","""Completed"""
"""6173487""","""1569568""","""A-000136917""",03/03/2018,"""""",""" ""","""Completed"""
"""6112193""","""1571808""","""A-000144839""",19/12/2017,"""""",""" ""","""Completed"""
"""6158407""","""1575610""","""A-000149801""",14/02/2018,"""1802-323C-O""","""Leave at back door ""","""Completed"""
"""6158431""","""1575614""","""A-000149804""",14/02/2018,"""1802-94TC-O""","""pls leave under conifer at rig ht of door""","""Completed/Cancelled"""
"""6158480""","""1575617""","""A-000149806""",14/02/2018,"""""",""" ""","""Completed"""
"""6044033""","""1568349""","""A-000131876""",09/10/2017,"""""",""" ""","""Completed"""
"""6044034""","""1568393""","""A-000131883""",09/10/2017,"""""",""" ""","""Completed"""
"""6044035""","""1568789""","""A-000132235""",12/10/2017,"""""",""" ""","""Completed"""
"""6044037""","""1569143""","""A-000133076""",15/10/2017,"""""",""" ""","""Completed"""
"""6044038""","""1569168""","""A-000133247""",16/10/2017,"""""",""" ""","""Completed"""
"""6044039""","""1569169""","""A-000133248""",16/10/2017,"""""",""" ""","""Completed"""
"""6044040""","""1569218""","""A-000133251""",16/10/2017,"""""",""" ""","""Completed"""
"""6044042""","""1567599""","""A-000131368""",06/10/2017,"""""",""" ""","""Completed"""
"""6044043""","""1567606""","""A-000131699""",07/10/2017,"""""",""" ""","""Completed"""
"""6044044""","""1567607""","""A-000131700""",07/10/2017,"""""",""" ""","""Completed/Cancelled"""
"""6044045""","""1567608""","""A-000131701""",07/10/2017,"""""",""" ""","""Completed"""
"""6044046""","""1568349""","""A-000131876""",09/10/2017,"""""",""" ""","""Completed"""
"""6044047""","""1568349""","""A-000131876""",09/10/2017,"""""",""" ""","""Completed"""
"""6044048""","""1568851""","""A-000133067""",14/10/2017,"""""",""" ""","""Completed"""
"""6044050""","""1568728""","""A-000132204""",11/10/2017,"""""",""" ""","""Completed"""
"""6044051""","""1568839""","""A-000133051""",13/10/2017,"""""",""" ""","""Completed"""
"""6044052""","""1568839""","""A-000133051""",13/10/2017,"""""",""" ""","""Completed"""
"""6044053""","""1567592""","""A-000131363""",06/10/2017,"""""",""" ""","""Completed"""
"""6044054""","""1567596""","""A-000131365""",06/10/2017,"""""",""" ""","""Completed"""
"""6044055""","""1567595""","""A-000131364""",06/10/2017,"""""",""" ""","""Completed"""
"""6044056""","""1567597""","""A-000131366""",06/10/2017,"""""",""" ""","""Completed"""
"""6044057""","""1567603""","""A-000131529""",06/10/2017,"""""",""" ""","""Completed"""
"""6044058""","""1568771""","""A-000132226""",12/10/2017,"""""",""" ""","""Completed"""
"""6044059""","""1569144""","""A-000133077""",15/10/2017,"""""",""" ""","""Completed"""
"""6044060""","""1569146""","""A-000133079""",15/10/2017,"""""",""" ""","""Completed"""
"""6044061""","""1569147""","""A-000133080""",15/10/2017,"""""",""" ""","""Completed"""
"""6139548""","""1574704""","""A-000149457""",23/01/2018,"""""",""" ""","""Completed"""
"""6139549""","""1574706""","""A-000149459""",23/01/2018,"""""",""" ""","""Completed"""
"""6112416""","""1568606""","""A-000132097""",19/12/2017,"""1712-9B4S-O""","""Leave under cover ""","""Completed/Cancelled"""
"""6173194""","""1569324""","""A-000133884""",04/03/2018,"""1803-72BF-O""",""" ""","""Completed"""
"""6157189""","""1575559""","""A-000149786""",13/02/2018,"""1802-FJP4-O""",""" ""","""Completed"""
"""6138321""","""1574687""","""A-000149447""",22/01/2018,"""""",""" ""","""Completed/Cancelled"""
"""6138322""","""1574689""","""A-000149449""",22/01/2018,"""""",""" ""","""Completed"""
"""6138323""","""1574628""","""A-000149278""",20/01/2018,"""""",""" ""","""Completed"""
"""6138324""","""1574629""","""A-000149279""",20/01/2018,"""""",""" ""","""Completed"""
"""6065608""","""1570149""","""A-000137341""",07/11/2017,"""""",""" ""","""Completed"""
"""6065609""","""1570136""","""A-000137340""",07/11/2017,"""""",""" ""","""Completed"""
"""6111722""","""1573190""","""A-000148056""",17/12/2017,"""""",""" ""","""Completed/Cancelled"""
