id,handle,sku,composite_handle,composite_sku,composite_quantity,name,description,type,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,tax_name,tax_value,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,inventory_Main_Outlet,reorder_point_Main_Outlet,restock_level_Main_Outlet,inventory_Tasmania_Outlet,reorder_point_Tasmania_Outlet,restock_level_Tasmania_Outlet
0635c1b0-0fdc-11e7-e820-5165a658b349,NalaDress,10002,,,,"Nala Dress","<p>The Nala Dress is a relaxed fit number which makes it a perfect throw-on look.</p><p>Featuring ladder lace cutout trims, tassel collar ties, and gathered boho-style sleeves.</p>",Fashion,Size,6,,,,,dress,120,269.9,GST,24.53636,,,Lilya,"Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a6816bd5,NalaDress,10003,,,,"Nala Dress","<p>The Nala Dress is a relaxed fit number which makes it a perfect throw-on look.</p><p>Featuring ladder lace cutout trims, tassel collar ties, and gathered boho-style sleeves.</p>",Fashion,Size,8,,,,,dress,120,269.9,GST,24.53636,,,Lilya,"Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a695d6c3,NalaDress,10004,,,,"Nala Dress","<p>The Nala Dress is a relaxed fit number which makes it a perfect throw-on look.</p><p>Featuring ladder lace cutout trims, tassel collar ties, and gathered boho-style sleeves.</p>",Fashion,Size,10,,,,,dress,120,269.9,GST,24.53636,,,Lilya,"Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a6abf690,NalaDress,10005,,,,"Nala Dress","<p>The Nala Dress is a relaxed fit number which makes it a perfect throw-on look.</p><p>Featuring ladder lace cutout trims, tassel collar ties, and gathered boho-style sleeves.</p>",Fashion,Size,12,,,,,dress,120,269.9,GST,24.53636,,,Lilya,"Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a6be9852,AudhildTee,10006,,,,"Audhild Tee","<p>The Audhild tee has a simple front with a side pocket.</p><p>Featuring an open back detail.</p>",Fashion,Size,8,Colour,Blush,,,shirt,18,49.9,GST,4.53636,,,"Nude Lacy","Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a6d80f39,AudhildTee,10007,,,,"Audhild Tee","<p>The Audhild tee has a simple front with a side pocket.</p><p>Featuring an open back detail.</p>",Fashion,Size,10,Colour,Blush,,,,18,49.9,GST,4.53636,,,"Nude Lacy","Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a6eedd12,AudhildTee,10008,,,,"Audhild Tee","<p>The Audhild tee has a simple front with a side pocket.</p><p>Featuring an open back detail.</p>",Fashion,Size,12,Colour,Blush,,,,18,49.9,GST,4.53636,,,"Nude Lacy","Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a705c798,AudhildTee,10009,,,,"Audhild Tee","<p>The Audhild tee has a simple front with a side pocket.</p><p>Featuring an open back detail.</p>",Fashion,Size,8,Colour,"Black and White Stripe",,,,18,49.9,GST,4.53636,,,"Nude Lacy","Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a71e646d,AudhildTee,10010,,,,"Audhild Tee","<p>The Audhild tee has a simple front with a side pocket.</p><p>Featuring an open back detail.</p>",Fashion,Size,10,Colour,"Black and White Stripe",,,,18,49.9,GST,4.53636,,,"Nude Lacy","Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a734c39e,AudhildTee,10011,,,,"Audhild Tee","<p>The Audhild tee has a simple front with a side pocket.</p><p>Featuring an open back detail.</p>",Fashion,Size,12,Colour,"Black and White Stripe",,,,18,49.9,GST,4.53636,,,"Nude Lacy","Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a749f641,MyGirlSunglasses,10012,,,,"My Girl Sunglasses","Polycarbonate and Metal Frame. Polycarbonate Lens. Steel Hinges. Cat. 3 Lens. 100% UV Protection",Fashion,,,,,,,sunglasses,18,69.9,GST,6.35455,,,Quay,"Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a7634433,LaBohemeMeshStrapWatch,10013,,,,"LaBoheme Mesh Strap Watch","<p>This La Bohème model features an ultrathin case with a 38 mm diameter, crafted with precision.</p><p>The strap is easily interchangeable, allowing you to personalize your watch.</p>",Fashion,Material,"Rose Gold",,,,,watch,130,198.9,GST,18.08182,,,Cluse,"Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a780a97c,LaBohemeMeshStrapWatch,10014,,,,"LaBoheme Mesh Strap Watch","<p>This La Bohème model features an ultrathin case with a 38 mm diameter, crafted with precision.</p><p>The strap is easily interchangeable, allowing you to personalize your watch.</p>",Fashion,Material,Gold,,,,,,130,198.9,GST,18.08182,,,Cluse,"Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-5165a794c261,LaBohemeMeshStrapWatch,10015,,,,"LaBoheme Mesh Strap Watch","<p>This La Bohème model features an ultrathin case with a 38 mm diameter, crafted with precision.</p><p>The strap is easily interchangeable, allowing you to personalize your watch.</p>",Fashion,Material,Silver,,,,,,130,198.9,GST,18.08182,,,Cluse,"Flo & Frankie",,1,1,5,1,2,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9830aaa90,HILSAU15,78229,,,,"Hill-Smith Estate Eden ValleySauv Blanc 15 12x750ml","Hill-Smith Estate Eden ValleySauv Blanc 15 12x750ml",Wine,,,,,,,,0,15.73,GST,1.43,,,"Hill-Smith Estate",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b984224d62,HILACH146,78253,,,,"Hill-Smith Estate Adelaide Hills Chardonnay 2014 6x750ml","Hill-Smith Estate Adelaide Hills Chardonnay 2014 6x750ml",Wine,,,,,,,,0,21.11,GST,1.91909,,,"Hill Smith Estate",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9853079c9,DALSAU156,78292,,,,"Dalrymple Sauvignon Blanc 20156x750ml","Dalrymple Sauvignon Blanc 20156x750ml",Wine,,,,,,,,0,21.4,GST,1.94546,,,"Dalrymple Vineyards",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b986446ec4,PEWACO056,78330,,,,"Pewsey Vale Vineyard 10YR TheContours Ries 2005 6x750ml","Pewsey Vale Vineyard 10YR TheContours Ries 2005 6x750ml",Wine,,,,,,,,0,35.48,GST,3.22546,,,"Pewsey Vale Vineyard",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b98760d2ee,YALPAR126,78419,,,,"Yalumba Paradox Shiraz 20126x750ml","Yalumba Paradox Shiraz 20126x750ml",Wine,,,,,,,,0,32.89,GST,2.99,,,"Yalumba Distinguished Sites",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b988750d56,YALVIO15,78544,,,,"Yalumba 'Y' Series Viognier 1512x750ml","Yalumba 'Y' Series Viognier 1512x750ml",Wine,,,,,,,,0,11.83,GST,1.07546,,,"Yalumba Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9898a9720,YALVIO156,78545,,,,"Yalumba 'Y' Series Viognier 156x750ml","Yalumba 'Y' Series Viognier 156x750ml",Wine,,,,,,,,0,11.83,GST,1.07546,,,"Yalumba Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b98a956c56,YALUCH15,78552,,,,"Yalumba Y Series Chardonnay2015 12x750ml","Yalumba Y Series Chardonnay2015 12x750ml",Wine,,,,,,,,0,11.83,GST,1.07546,,,"Yalumba Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b98bf50e06,POLVIN066GB,78671,,,,"Pol Roger Brut Vintage 2006Gift Box 6x750ml","Pol Roger Brut Vintage 2006Gift Box 6x750ml",Wine,,,,,,,,0,113.52,GST,10.32,,,"Pol Roger",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b98dbc5feb,DALPINPCK,78718,,,,"Dalrymple Pinosity Pack2x750ml + T-Shirt","Dalrymple Pinosity Pack2x750ml + T-Shirt",Wine,,,,,,,,0,70.95,GST,6.45,,,Dalrymple,,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b98eef6582,YALSAR15,78758,,,,"Yalumba 'Y' Series SangioveseRose 15 12x750ml","Yalumba 'Y' Series SangioveseRose 15 12x750ml",Wine,,,,,,,,0,11.83,GST,1.07546,,,"Yalumba Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b99014bbee,YALSAR156,78759,,,,"Yalumba 'Y' Series SangioveseRose 15 6x750ml","Yalumba 'Y' Series SangioveseRose 15 6x750ml",Wine,,,,,,,,0,11.83,GST,1.07546,,,"Yalumba Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b991259742,DALPIN146,78838,,,,"Dalrymple Pinot Noir 20146x750ml","Dalrymple Pinot Noir 20146x750ml",Wine,,,,,,,,0,26.02,GST,2.36546,,,Dalrymple,,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b992346e67,DALPIN14X6,78839,,,,"Dalrymple Pinot Noir 2014Export 6x750ml","Dalrymple Pinot Noir 2014Export 6x750ml",Wine,,,,,,,,0,24.57,GST,2.23364,,,Dalrymple,,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b99349de7d,PARRIE156,79006,,,,"Parish Vineyard Riesling15 6x750ml","Parish Vineyard Riesling15 6x750ml",Wine,,,,,,,,0,21.29,GST,1.93546,,,"Parish Vineyard",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9945463f3,RTZMSA14,79009,,,,"Ritzy Wine Bar Marlborough Sauvignon Blanc 2014 12x750ml","Ritzy Wine Bar Marlborough Sauvignon Blanc 2014 12x750ml",Wine,,,,,,,,0,8.28,GST,0.75273,,,"Buyers Own Brand",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b995817c8e,HEGBOT1537,79013,,,,"Heggies Vineyard Eden Valley Botrytis Riesling 2015 12x375ml","Heggies Vineyard Eden Valley Botrytis Riesling 2015 12x375ml",Wine,,,,,,,,0,0,GST,0,,,"Heggies Vineyard",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9968c5689,YALGAM136,79035,,,,"Yalumba Galway Vintage Malbec2013 6x750ml","Yalumba Galway Vintage Malbec2013 6x750ml",Wine,,,,,,,,0,18,GST,1.63636,,,"Yalumba Individuals",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b997a364ee,OPASAU15A,79147,,,,"Opawa Sauvignon Blanc 2015 Australia 12x750ml","Opawa Sauvignon Blanc 2015 Australia 12x750ml",Wine,,,,,,,,0,15.73,GST,1.43,,,Opawa,,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b998baeac6,MESRIE156,79196,,,,"mesh Eden Valley Riesling 20156x750ml","mesh Eden Valley Riesling 20156x750ml",Wine,,,,,,,,0,21.83,GST,1.98455,,,mesh,,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b999c0a7c9,YALTOTE,79229,,,,"Yalumba Tote Bagcotton drill with leather hndl","Yalumba Tote Bagcotton drill with leather hndl",Wine,,,,,,,,0,35,GST,3.18182,,,"Yalumba Barossa",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b99ad9ec1d,JANCANVBAG,79230,,,,"Jansz Canvas Bag 11oz Canvas Leather Handle","Jansz Canvas Bag 11oz Canvas Leather Handle",Wine,,,,,,,,0,65,GST,5.90909,,,"Jansz Tasmania (Don't Use)",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b99ceef0db,YALTTOWLPAT,79240,,,,"Yalumba Tea Towel PATCHWORKprinted design 690x500mm","Yalumba Tea Towel PATCHWORKprinted design 690x500mm",Wine,,,,,,,,0,15,GST,1.36364,,,"Yalumba Barossa",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b99e080fed,YALJOURPAT,79242,,,,"Yalumba Journal PatchworkA5 size sewn binding","Yalumba Journal PatchworkA5 size sewn binding",Wine,,,,,,,,0,7,GST,0.63636,,,"Yalumba Barossa",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b99f20c576,YALJOURFLORA,79243,,,,"Yalumba Journal FLORAA5 size sewn binding","Yalumba Journal FLORAA5 size sewn binding",Wine,,,,,,,,0,7,GST,0.63636,,,"Yalumba Barossa",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a02e5d0d,JANJOURICE,79247,,,,"JANSZ JOURNAL ICICLEprinted design A5 size","JANSZ JOURNAL ICICLEprinted design A5 size",Wine,,,,,,,,0,7,GST,0.63636,,,"Jansz Tasmania (Don't Use)",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a13785b6,JANJOURFLOR,79248,,,,"JANSZ JOURNAL FLORALprinted design A5 size","JANSZ JOURNAL FLORALprinted design A5 size",Wine,,,,,,,,0,7,GST,0.63636,,,"Jansz Tasmania (Don't Use)",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a241769d,YALSAU15187,79417,,,,"Yalumba Y Series SauvignonBlanc 2015 24x187ml","Yalumba Y Series SauvignonBlanc 2015 24x187ml",Wine,,,,,,,,0,2.96,GST,0.26909,,,"Yalumba Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a38a93b5,REDSMP156,79439,,,,"Redbank Sunday Morning Pinot Gris 2015 6x750ml","Redbank Sunday Morning Pinot Gris 2015 6x750ml",Wine,,,,,,,,0,15.25,GST,1.38636,,,"Redbank King Valley",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a4a28abb,TWISAU15A,79445,,,,"Twin Islands Sauvignon Blanc2015 Australia 12x750ml","Twin Islands Sauvignon Blanc2015 Australia 12x750ml",Wine,,,,,,,,0,14.78,GST,1.34364,,,"Twin Islands",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a5bc104e,YALVIR14,79466,,,,"Yalumba The Virgilius Viognier14 6x750ml","Yalumba The Virgilius Viognier14 6x750ml",Wine,,,,,,,,0,33.58,GST,3.05273,,,"Yalumba Rare & Fine",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a6ce0006,YALOCT10E6,79493,,,,"Yalumba The Octavius Shiraz2010 Europe 6x750ml","Yalumba The Octavius Shiraz2010 Europe 6x750ml",Wine,,,,,,,,0,86.26,GST,7.84182,,,"Yalumba Rare & Fine",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a7d7db02,YALOCT1015,79495,,,,"Yalumba The Octavius Shiraz2010 6x1500ml","Yalumba The Octavius Shiraz2010 6x1500ml",Wine,,,,,,,,0,252.58,GST,22.96182,,,"Yalumba Rare & Fine",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a8e1c4b5,YALOCT1030,79496,,,,"Yalumba The Octavius Shiraz2010 1x3000ml","Yalumba The Octavius Shiraz2010 1x3000ml",Wine,,,,,,,,0,381,GST,34.63636,,,"Yalumba Rare & Fine",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9a9ec1c4d,YALTEM14,79507,,,,"Yalumba Y Series Tempranillo2014 12x750ml","Yalumba Y Series Tempranillo2014 12x750ml",Wine,,,,,,,,0,11.83,GST,1.07546,,,"Yalumba The Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9ab0196e0,YALTEM146,79508,,,,"Yalumba Y Series Tempranillo2014 6x750ml","Yalumba Y Series Tempranillo2014 6x750ml",Wine,,,,,,,,0,15,GST,1.36364,,,"Yalumba The Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9ac0d7b45,YALJOUR3,79537,,,,"Yalumba Journal set of 3A5 size sewn binding","Yalumba Journal set of 3A5 size sewn binding",Wine,,,,,,,,0,32,GST,2.90909,,,"Yalumba Barossa",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9ad18d643,YALCAB14,79548,,,,"Yalumba 'Y' Series Cabernet Sauvignon 14 12x750ml","Yalumba 'Y' Series Cabernet Sauvignon 14 12x750ml",Wine,,,,,,,,0,11.83,GST,1.07546,,,"Yalumba Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9ae35c2c4,YALCAB14187,79550,,,,"Yalumba 'Y' Series Cabernet Sauvignon 14 24x187ml","Yalumba 'Y' Series Cabernet Sauvignon 14 24x187ml",Wine,,,,,,,,0,3.07,GST,0.27909,,,"Yalumba Y Series",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9af4d46e5,HTVSBS15,79563,,,,"Hightide The Breakers SemillonSauvignon Blanc 2015 12x750ml","Hightide The Breakers SemillonSauvignon Blanc 2015 12x750ml",Wine,,,,,,,,0,7.37,GST,0.67,,,"Hightide Vineyards",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b06ed3ed,JAMBIA15,79727,,,,"Jamie's Italian Bianco 15- 12x750ml","Jamie's Italian Bianco 15- 12x750ml",Wine,,,,,,,,0,10.17,GST,0.92455,,,"Buyers Own Brand",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b187fff7,JAMROS14,79728,,,,"Jamie's Italian Rosso 14- 12x750ml","Jamie's Italian Rosso 14- 12x750ml",Wine,,,,,,,,0,10.17,GST,0.92455,,,"Buyers Own Brand",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b2b0778d,OPAPIN14A,80145,,,,"Opawa Pinot Noir 2014 Australia 12x750ml","Opawa Pinot Noir 2014 Australia 12x750ml",Wine,,,,,,,,0,18.33,GST,1.66636,,,Opawa,,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b3cc51f4,NAUCHA14A,80156,,,,"Nautilus Estate Chardonnay2014 Australia 12x750ml","Nautilus Estate Chardonnay2014 Australia 12x750ml",Wine,,,,,,,,0,26.49,GST,2.40818,,,"Nautilus Estate",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b4dc952d,YALPPTPK,80295,,,,"Yalumba Patchwork Gift Pack1x750ml","Yalumba Patchwork Gift Pack1x750ml",Wine,,,,,,,,0,32.79,GST,2.98091,,,"Yalumba Samuel's Garden",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b5f1f681,YALSCRPK6,80300,,,,"Yalumba The Scribbler Set6x750ml","Yalumba The Scribbler Set6x750ml",Wine,,,,,,,,0,102.17,GST,9.28818,,,"Yalumba Second Generation",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b6ff9f59,SMIPIG15,80310,,,,"Smith & Hooper Pinot Grigio15 12x750ml","Smith & Hooper Pinot Grigio15 12x750ml",Wine,,,,,,,,0,13.6,GST,1.23636,,,"Smith and Hooper",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b80b8e85,SMIMER146,80390,,,,"Smith & Hooper Wrattonbully Merlot 2014 6x750ml","Smith & Hooper Wrattonbully Merlot 2014 6x750ml",Wine,,,,,,,,0,0,GST,0,,,"Smith & Hooper",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9b9175eb0,BEAVIG146,80466,,,,"Chateau de Beaucastel Roussanne Vieilles Vignes 14 6x750ml","Chateau de Beaucastel Roussanne Vieilles Vignes 14 6x750ml",Wine,,,,,,,,0,227.04,GST,20.64,,,"Domaine Perrin",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9ba1eb107,YALTASTE,80555,,,,"Yalumba A5 Tasting Book","Yalumba A5 Tasting Book",Wine,,,,,,,,0,4.68,GST,0.42546,,,"Yalumba Barossa",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9bb34af63,YALHSFVTASTE,80556,,,,"Yalumba / HSFV A5 Tasting Book","Yalumba / HSFV A5 Tasting Book",Wine,,,,,,,,0,4.73,GST,0.43,,,"Yalumba Barossa",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9bc3c8b83,NAUMSA15A,80641,,,,"Nautilus Marlborough SauvignonBlanc 15 12x750ml","Nautilus Marlborough SauvignonBlanc 15 12x750ml",Wine,,,,,,,,0,19.01,GST,1.72818,,,"Nautilus Estate",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9bd4551f5,NAUMPI13A,80646,,,,"Nautilus Marlborough PinotNoir 2013 Australia 12x750ml","Nautilus Marlborough PinotNoir 2013 Australia 12x750ml",Wine,,,,,,,,0,31.93,GST,2.90273,,,"Nautilus Estate",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9be50cdba,GLEVRE,80792,,,,"Glenrothes Vintage Reserve6x700ml","Glenrothes Vintage Reserve6x700ml",Wine,,,,,,,,0,70.86,GST,6.44182,,,"Glenrothes Reserves",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9bf55da91,POLVIN06153GB,80876,,,,"Pol Roger Brut Vintage 2006Gift Box 3x1500ml","Pol Roger Brut Vintage 2006Gift Box 3x1500ml",Wine,,,,,,,,0,224.68,GST,20.42546,,,"Pol Roger",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c060d8a8,SAPB5PI13,81041,,,,"Saint Clair Pioneer Block 5 Bull Bl Pinot Noir 2013 12x750ml","Saint Clair Pioneer Block 5 Bull Bl Pinot Noir 2013 12x750ml",Wine,,,,,,,,0,24.83,GST,2.25727,,,"Saint Clair Pioneer Block",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c1765514,REDPRO156,81124,,,,"Redbank Prosecco 20156x750ml","Redbank Prosecco 20156x750ml",Wine,,,,,,,,0,15.25,GST,1.38636,,,"Redbank King Valley",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c2929ffa,YALPAR136,81133,,,,"Yalumba Paradox Shiraz 20136x750ml","Yalumba Paradox Shiraz 20136x750ml",Wine,,,,,,,,0,32.89,GST,2.99,,,"Yalumba Distinguished Sites",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c3a531ed,YALMEN136,81261,,,,"Yalumba The Menzies 20136x750ml","Yalumba The Menzies 20136x750ml",Wine,,,,,,,,0,0,GST,0,,,"Yalumba Rare & Fine",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c4af01e5,YALMEN1315,81281,,,,"Yalumba The Menzies 20136x1500ml","Yalumba The Menzies 20136x1500ml",Wine,,,,,,,,0,146,GST,13.27273,,,"Yalumba Rare & Fine",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c5ded8cb,YALMEN1360,81302,,,,"Yalumba The Menzies 20131x6000ml","Yalumba The Menzies 20131x6000ml",Wine,,,,,,,,0,550,GST,50,,,"Yalumba Rare & Fine",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c6fbc5d7,YALGAL14,81306,,,,"Yalumba Galway Vintage Shiraz14 12x750ml","Yalumba Galway Vintage Shiraz14 12x750ml",Wine,,,,,,,,0,13.24,GST,1.20364,,,"Yalumba Individuals",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c80620de,OXFMER15187,81344,,,,"Oxford Landing Estates Merlot2015 12x187ml","Oxford Landing Estates Merlot2015 12x187ml",Wine,,,,,,,,0,2.72,GST,0.24727,,,"Oxford Landing Estates",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9c932bb2a,YALGAM146,81403,,,,"Yalumba Galway Vintage Malbec2014 6x750ml","Yalumba Galway Vintage Malbec2014 6x750ml",Wine,,,,,,,,0,18,GST,1.63636,,,"Yalumba Individuals",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9ca3afb78,PERCDR13,81418,,,,"Famille Perrin Reserve Cotes-du-Rhone Rouge 2013 12x750ml","Famille Perrin Reserve Cotes-du-Rhone Rouge 2013 12x750ml",Wine,,,,,,,,0,18.33,GST,1.66636,,,"Famille Perrin",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9cb401c70,HEGCHA146,81463,,,,"Heggies Vineyard Eden ValleyChardonnay 2014 6x750ml","Heggies Vineyard Eden ValleyChardonnay 2014 6x750ml",Wine,,,,,,,,0,23.18,GST,2.10727,,,"Heggies Vineyard",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9cc439d85,SAPB1SA15,81530,,,,"Saint Clair Pioneer Block 1Sauvignon Blanc 2015 12x750ml","Saint Clair Pioneer Block 1Sauvignon Blanc 2015 12x750ml",Wine,,,,,,,,0,21.29,GST,1.93546,,,"Saint Clair Pioneer Block",,,1,0,0.00,0,0,0.00,0,0
0635c1b0-0fdc-11e7-e820-54b9cd503485,SAPB20SA15,81532,,,,"Saint Clair Pioneer Block 20 Sauvignon Blanc 2015 12x750ml","Saint Clair Pioneer Block 20 Sauvignon Blanc 2015 12x750ml",Wine,,,,,,,,0,0,GST,0,,,"Saint Clair Pioneer Block",,,1,0,0.00,0,0,0.00,0,0
